,Date,HighTemp,LowTemp,AverageTemp,Precipitation,NauticalTwilightRise,NauticalTwilightSet
0,2017-1-1,55,39,47,0,6:01,5:54
1,2017-1-2,54,48,51,0,6:01,5:55
2,2017-1-3,55,45,50,0,6:01,5:56
3,2017-1-4,57,46,52,0.07,6:02,5:57
4,2017-1-5,61,52,56,0.31,6:02,5:57
5,2017-1-7,63,46,54,0.28,6:02,5:59
6,2017-1-8,73,48,60,0,6:02,6:00
7,2017-1-9,61,50,56,0.58,6:02,6:00
8,2017-1-10,57,47,52,0.14,6:02,6:01
9,2017-1-11,62,53,58,0.34,6:02,6:02
10,2017-1-12,54,47,51,0.68,6:02,6:03
11,2017-1-13,61,44,53,1e-16,6:02,6:04
12,2017-1-14,71,45,58,0,6:02,6:05
13,2017-1-15,61,45,53,1e-16,6:02,6:05
14,2017-1-16,64,46,55,0,6:01,6:06
15,2017-1-17,66,41,54,0,6:01,6:07
16,2017-1-18,58,42,50,0.03,6:01,6:08
17,2017-1-19,62,50,56,0.44,6:01,6:09
18,2017-1-20,58,48,53,1.11,6:00,6:10
19,2017-1-21,59,41,50,0,6:00,6:11
20,2017-1-22,53,47,50,1.57,6:00,6:12
21,2017-1-23,53,41,47,0.14,5:59,6:12
22,2017-1-24,55,36,46,0,5:59,6:13
23,2017-1-25,58,36,47,0,5:59,6:14
24,2017-1-26,63,36,50,0,5:58,6:15
25,2017-1-27,64,46,55,0,5:58,6:16
26,2017-1-29,79,41,60,0,5:57,6:18
27,2017-1-30,79,46,63,0,5:56,6:19
28,2017-1-31,74,46,60,0,5:56,6:20
29,2017-2-1,70,43,57,0,5:55,6:21
30,2017-2-2,65,48,57,1e-16,5:54,6:21
31,2017-2-3,60,52,56,0.23,5:54,6:22
32,2017-2-4,63,49,56,0,5:53,6:23
33,2017-2-5,56,46,51,0,5:52,6:24
34,2017-2-6,60,50,55,0.34,5:52,6:25
35,2017-2-7,61,55,58,0.05,5:51,6:26
36,2017-2-8,73,57,65,0.02,5:50,6:27
37,2017-2-10,63,56,60,0.32,5:48,6:29
38,2017-2-11,63,53,58,0.07,5:47,6:29
39,2017-2-12,74,48,61,0,5:47,6:30
40,2017-2-13,75,54,65,0,5:46,6:31
41,2017-2-14,72,51,62,0,5:45,6:32
42,2017-2-15,79,47,63,0,5:44,6:33
43,2017-2-16,70,50,60,1e-16,5:43,6:34
44,2017-2-17,55,53,54,0.85,5:42,6:35
45,2017-2-18,59,49,54,0,5:41,6:36
46,2017-2-19,60,47,54,0.07,5:40,6:36
47,2017-2-20,60,50,55,0.01,5:39,6:37
48,2017-2-21,64,52,58,0.05,5:38,6:38
49,2017-2-22,62,47,55,0,5:37,6:39
50,2017-2-23,57,46,52,0,5:36,6:40
51,2017-2-24,62,37,50,0,5:34,6:41
52,2017-2-25,60,37,49,1e-16,5:33,6:41
53,2017-2-26,57,45,51,0.09,5:32,6:42
54,2017-2-27,59,48,54,1e-16,5:31,6:43
55,2017-3-1,72,43,58,0,5:29,6:45
56,2017-3-2,79,43,61,0,5:27,6:45
57,2017-3-3,80,46,63,0,5:26,6:46
58,2017-3-4,68,47,58,0,5:25,6:47
59,2017-3-5,59,43,51,0.03,5:24,6:48
60,2017-3-6,66,42,54,0,5:22,6:49
61,2017-3-7,77,43,60,0,5:21,6:50
62,2017-3-8,84,50,67,0,5:20,6:50
63,2017-3-9,87,54,71,0,5:18,6:51
64,2017-3-10,83,54,69,0,5:17,6:52
65,2017-3-11,84,53,69,0,5:16,6:53
66,2017-3-12,90,53,72,0,6:14,7:53
67,2017-3-13,93,57,74,0,6:13,7:54
68,2017-3-14,89,56,73,0,6:12,7:55
69,2017-3-15,87,62,75,0,6:10,7:56
70,2017-3-16,79,57,68,0,6:09,7:57
71,2017-3-17,83,56,70,0,6:07,7:57
72,2017-3-18,79,53,66,0,6:06,7:58
73,2017-3-19,79,51,65,0,6:05,7:59
74,2017-3-20,69,56,63,0,6:03,8:00
75,2017-3-21,63,54,59,0.17,6:02,8:01
76,2017-3-22,67,53,60,0.01,6:00,8:01
77,2017-3-23,69,51,60,0,5:59,8:02
78,2017-3-24,70,47,59,0,5:57,8:03
79,2017-3-25,69,51,60,1e-16,5:56,8:04
80,2017-3-26,69,51,60,0,5:55,8:05
81,2017-3-27,72,51,62,0,5:53,8:05
82,2017-3-28,78,56,67,0,5:52,8:06
83,2017-3-29,83,54,69,0,5:50,8:07
84,2017-3-30,75,55,65,0,5:49,8:08
85,2017-3-31,74,53,64,0,5:47,8:09
86,2017-4-1,74,49,62,0,5:46,8:10
87,2017-4-2,77,53,65,0,5:44,8:10
88,2017-4-3,68,52,60,0,5:43,8:11
89,2017-4-4,78,55,67,0,5:42,8:12
90,2017-4-5,85,56,71,0,5:40,8:13
91,2017-4-6,78,56,67,0,5:39,8:14
92,2017-4-7,72,54,63,0.01,5:37,8:15
93,2017-4-8,67,52,60,0.08,5:36,8:16
94,2017-4-9,74,48,61,0,5:34,8:16
95,2017-4-10,78,48,63,0,5:33,8:17
96,2017-4-11,74,51,63,0,5:32,8:18
97,2017-4-12,74,52,63,0,5:30,8:19
98,2017-4-13,68,54,61,0,5:29,8:20
99,2017-4-14,68,52,60,0,5:27,8:21
100,2017-4-15,77,48,63,0,5:26,8:22
101,2017-4-16,77,53,65,0,5:25,8:23
102,2017-4-17,75,53,64,0,5:23,8:24
103,2017-4-18,73,59,66,0,5:22,8:24
104,2017-4-19,76,55,66,0,5:21,8:25
105,2017-4-20,83,53,68,0,5:19,8:26
106,2017-4-21,93,58,76,0,5:18,8:27
107,2017-4-22,91,61,76,0,5:17,8:28
108,2017-4-23,79,59,69,0,5:15,8:29
109,2017-4-24,72,56,64,0,5:14,8:30
110,2017-4-25,76,60,68,0,5:13,8:31
111,2017-4-26,87,58,73,0,5:11,8:32
112,2017-4-27,83,58,71,0,5:10,8:33
113,2017-4-28,80,64,72,0,5:09,8:34
114,2017-4-29,84,63,74,0,5:08,8:35
115,2017-4-30,86,57,72,0,5:07,8:36
116,2017-5-1,86,58,72,0,5:05,8:37
117,2017-5-2,86,60,73,0,5:04,8:38
118,2017-5-3,88,60,74,0,5:03,8:39
119,2017-5-4,85,59,72,0,5:02,8:40
120,2017-5-5,74,57,66,0,5:01,8:41
121,2017-5-6,65,49,57,0.01,5:00,8:42
122,2017-5-7,62,48,55,0.12,4:59,8:43
123,2017-5-8,72,46,59,0,4:58,8:44
124,2017-5-9,67,54,61,0,4:57,8:45
125,2017-5-10,66,56,61,1e-16,4:56,8:46
126,2017-5-11,73,54,64,0,4:55,8:47
127,2017-5-12,74,54,64,0,4:54,8:48
128,2017-5-13,75,53,64,0,4:53,8:48
129,2017-5-14,70,51,61,0,4:52,8:49
130,2017-5-15,63,54,59,0,4:51,8:50
131,2017-5-16,67,50,59,0,4:50,8:51
132,2017-5-17,69,54,62,0,4:49,8:52
133,2017-5-18,75,52,64,0,4:48,8:53
134,2017-5-19,86,57,72,0,4:47,8:54
135,2017-5-20,94,59,77,0,4:47,8:55
136,2017-5-21,92,65,79,0,4:46,8:56
137,2017-5-22,88,62,75,0,4:45,8:57
138,2017-5-23,90,61,76,0,4:45,8:58
139,2017-5-24,80,57,69,0,4:44,8:59
140,2017-5-25,67,58,63,0,4:43,8:59
141,2017-5-26,70,58,64,0,4:43,9:00
142,2017-5-27,72,54,63,0,4:42,9:01
143,2017-5-28,80,56,68,0,4:42,9:02
144,2017-5-29,77,56,67,0,4:41,9:03
145,2017-5-30,75,59,67,0,4:40,9:03
146,2017-5-31,70,60,65,0,4:40,9:04
147,2017-6-1,75,60,68,0,4:40,9:05
148,2017-6-2,87,59,73,0,4:39,9:06
149,2017-6-3,85,60,73,0,4:39,9:06
150,2017-6-4,82,61,72,0,4:38,9:07
151,2017-6-5,79,60,70,0,4:38,9:08
152,2017-6-6,73,62,68,0,4:38,9:08
153,2017-6-7,74,60,67,0,4:38,9:09
154,2017-6-8,75,59,67,0,4:37,9:09
155,2017-6-9,76,57,67,0,4:37,9:10
156,2017-6-10,70,60,65,0,4:37,9:10
157,2017-6-11,69,57,63,1e-16,4:37,9:11
158,2017-6-13,80,54,67,0,4:37,9:12
159,2017-6-14,87,59,73,0,4:37,9:12
160,2017-6-15,89,62,76,0,4:37,9:13
161,2017-6-16,92,64,78,0,4:37,9:13
162,2017-6-17,90,63,77,0,4:37,9:13
163,2017-6-18,90,64,77,0,4:37,9:14
164,2017-6-19,90,65,78,0,4:37,9:14
165,2017-6-20,94,65,80,0,4:37,9:14
166,2017-6-21,92,67,80,0,4:38,9:14
167,2017-6-22,83,62,73,0,4:38,9:15
168,2017-6-23,84,63,74,0,4:38,9:15
169,2017-6-24,83,62,73,0,4:38,9:15
170,2017-6-25,111,65,88,0,4:39,9:15
171,2017-6-26,101,69,85,0,4:39,9:15
172,2017-6-27,93,67,80,0,4:39,9:15
173,2017-6-28,84,62,73,0,4:40,9:15
174,2017-6-29,80,62,71,0,4:40,9:15
175,2017-6-30,81,62,72,0,4:41,9:15
176,2017-7-1,79,60,70,0,4:41,9:15
177,2017-7-2,85,63,74,0,4:42,9:15
178,2017-7-3,91,61,76,0,4:42,9:14
179,2017-7-4,93,64,79,0,4:43,9:14
180,2017-7-5,90,67,79,0,4:43,9:14
181,2017-7-6,95,66,81,0,4:44,9:14
182,2017-7-7,101,72,87,0,4:45,9:13
183,2017-7-8,103,75,89,0,4:45,9:13
184,2017-7-9,99,73,86,0,4:46,9:13
185,2017-7-10,94,73,84,0,4:47,9:12
186,2017-7-11,90,69,80,0,4:47,9:12
187,2017-7-12,89,67,78,0,4:48,9:11
188,2017-7-13,89,66,78,0,4:49,9:11
189,2017-7-14,88,65,77,0,4:49,9:10
190,2017-7-15,90,69,80,0,4:50,9:10
191,2017-7-16,88,69,79,0,4:51,9:09
192,2017-7-17,88,66,77,0,4:52,9:08
193,2017-7-18,89,68,79,0,4:53,9:08
194,2017-7-19,90,68,79,0,4:53,9:07
195,2017-7-20,90,68,79,0,4:54,9:06
196,2017-7-21,87,66,77,0,4:55,9:06
197,2017-7-22,89,66,78,0,4:56,9:05
198,2017-7-23,89,67,78,0,4:57,9:04
199,2017-7-24,85,67,76,0,4:58,9:03
200,2017-7-25,86,67,77,1e-16,4:59,9:02
201,2017-7-26,87,65,76,0,4:59,9:02
202,2017-7-27,92,66,79,0,5:00,9:01
203,2017-7-28,87,66,77,0,5:01,9:00
204,2017-7-29,91,64,78,0,5:02,8:59
205,2017-7-30,86,66,76,0,5:03,8:58
206,2017-7-31,88,64,76,0,5:04,8:57
207,2017-8-1,102,68,85,1e-16,5:05,8:56
208,2017-8-2,98,77,88,1e-16,5:06,8:55
209,2017-8-3,94,75,85,0,5:07,8:54
210,2017-8-4,90,70,80,0,5:08,8:53
211,2017-8-5,86,68,77,0,5:09,8:52
212,2017-8-6,84,68,76,0,5:09,8:51
213,2017-8-7,88,66,77,0,5:10,8:49
214,2017-8-8,91,67,79,0,5:11,8:48
215,2017-8-9,89,65,77,0,5:12,8:47
216,2017-8-10,91,67,79,0,5:13,8:46
217,2017-8-11,92,67,80,0,5:14,8:45
218,2017-8-12,90,65,78,0,5:15,8:43
219,2017-8-13,88,64,76,0,5:16,8:42
220,2017-8-14,80,64,72,0,5:17,8:41
221,2017-8-15,76,64,70,0,5:18,8:40
222,2017-8-16,80,65,73,0,5:19,8:38
223,2017-8-17,83,63,73,0,5:19,8:37
224,2017-8-18,83,63,73,0,5:20,8:36
225,2017-8-19,84,63,74,0,5:21,8:34
226,2017-8-20,82,63,73,0,5:22,8:33
227,2017-8-21,83,65,74,0,5:23,8:32
228,2017-8-22,87,62,75,0,5:24,8:30
229,2017-8-23,80,63,72,0,5:25,8:29
230,2017-8-24,82,64,73,0,5:26,8:28
231,2017-8-25,82,65,74,0,5:26,8:26
232,2017-8-26,95,65,80,0,5:27,8:25
233,2017-8-27,94,66,80,0,5:28,8:23
234,2017-8-28,101,69,85,0,5:29,8:22
235,2017-8-29,104,76,90,0,5:30,8:21
236,2017-8-30,101,74,88,1e-16,5:31,8:19
