Date,HighTemp,LowTemp,AverageTemp,Precipitation,NauticalTwilightRise,NauticalTwilightSet,,
1/1/2018,75,45,60,0,6:01,5:54,,
1/2/2018,81,52,67,0,6:01,5:55,,
1/3/2018,74,54,64,0,6:01,5:56,,
1/4/2018,76,52,64,0,6:02,5:56,,
1/5/2018,74,53,64,0,6:02,5:57,,
1/6/2018,70,57,64,0,6:02,5:58,,
1/7/2018,75,50,63,0,6:02,5:59,,
1/8/2018,66,59,63,0.47,6:02,5:59,,
1/9/2018,61,48,55,1.86,6:02,6:00,,
1/10/2018,65,44,55,0,6:02,6:01,,
1/11/2018,72,46,59,0,6:02,6:02,,
1/12/2018,81,48,65,0,6:02,6:03,,
1/13/2018,82,48,65,0,6:02,6:04,,
1/14/2018,81,52,67,0,6:02,6:04,,
1/15/2018,73,49,61,0,6:02,6:05,,
1/16/2018,72,51,62,0,6:01,6:06,,
1/17/2018,80,50,65,0,6:01,6:07,,
1/18/2018,77,52,65,0,6:01,6:08,,
1/19/2018,62,52,57,1.00E-16,6:01,6:09,,
1/20/2018,60,48,54,0,6:01,6:10,,
1/21/2018,63,39,51,0,6:00,6:10,,
1/22/2018,70,42,56,0,6:00,6:11,,
1/23/2018,74,42,58,0,6:00,6:12,,
1/24/2018,74,45,60,0,5:59,6:13,,
1/25/2018,61,44,53,0,5:59,6:14,,
1/26/2018,68,42,55,0,5:58,6:15,,
1/27/2018,73,43,58,0,5:58,6:16,,
1/28/2018,86,54,70,0,5:57,6:17,,
1/29/2018,85,61,73,0,5:57,6:18,,
1/30/2018,81,57,69,0,5:56,6:19,,
1/31/2018,82,49,66,0,5:55,6:20,,
2/1/2018,85,51,68,0,5:54,6:21,,
2/2/2018,82,51,67,0,5:54,6:22,,
2/3/2018,82,51,67,0,5:53,6:23,,
2/6/2018,78,51,65,0,5:52,6:25,,
2/7/2018,82,49,66,0,5:51,6:26,,
2/8/2018,84,50,67,0,5:50,6:27,,
2/9/2018,76,52,64,0,5:49,6:28,,
2/10/2018,64,53,59,0,5:49,6:28,,
2/12/2018,61,49,55,0.02,5:47,6:30,,
2/13/2018,65,45,55,0,5:46,6:31,,
2/14/2018,67,52,60,1.00E-16,5:45,6:32,,
2/15/2018,71,50,61,0,5:44,6:33,,
2/16/2018,73,48,61,0,5:43,6:34,,
