X,Y,TrafficID,IntersectionID,lat,lon,intersection,TOOLTIP,NLA_URL
-118.279473701407213,33.989164641031216,3001,58084,33.98915976,-118.27946157,HARBOR FRWY AT SLAUSON AVE,Location: HARBOR FRWY AT SLAUSON AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3001
-118.281904280341109,33.960140407060202,3002,58094,33.96013553,-118.28189215,MANCHESTER AVE AT HARBOR FRWY,Location: MANCHESTER AVE AT HARBOR FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3002
-118.279733870086872,33.960030808064303,3003,58098,33.96002593,-118.27972174,MANCHESTER AVE AT HARBOR FRWY,Location: MANCHESTER AVE AT HARBOR FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3003
-118.28647212671585,33.916424872224951,3004,58105,33.91642,-118.28646,EL SEGUNDO BLVD at HARBOR FRWY,Location: EL SEGUNDO BLVD at HARBOR FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3004
-118.28715026664284,33.901900680307186,3005,58109,33.90189581,-118.28713814,ROSECRANS AVE AT HARBOR FRWY,Location: ROSECRANS AVE AT HARBOR FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3005
-118.286200185974039,33.901900260376131,3006,58110,33.90189539,-118.28618806,ROSECRANS AVE AT HARBOR FRWY,Location: ROSECRANS AVE AT HARBOR FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3006
-118.284500914676201,33.892684869543054,3007,58112,33.89268,-118.28448879,REDONDO BEACH BLVD AT HARBOR FRWY,Location: REDONDO BEACH BLVD AT HARBOR FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3007
-118.286105355522466,33.89263834970383,3008,58114,33.89263348,-118.28609323,HARBOR FRWY AT REDONDO BEACH BLVD,Location: HARBOR FRWY AT REDONDO BEACH BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3008
-118.611977662993013,34.168956762309165,3009,58145,34.16895188,-118.61196546,VENTURA FRWY at VENTURA BLVD,Location: VENTURA FRWY at VENTURA BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3009
-118.536015499967945,34.173706866805951,3010,58162,34.17370198,-118.53600331,VENTURA FRWY at RESEDA BLVD,Location: VENTURA FRWY at RESEDA BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3010
-118.536014210393759,34.1728854069043,3011,58163,34.17288052,-118.53600202,VENTURA FRWY at RESEDA BLVD,Location: VENTURA FRWY at RESEDA BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3011
-118.518548736729102,34.171569448038355,3012,58166,34.17156456,-118.51853655,VENTURA FRWY at WHITE OAK AVE,Location: VENTURA FRWY at WHITE OAK AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3012
-118.501105733728551,34.170947458592273,3013,58169,34.17094257,-118.50109355,BALBOA BLVD at VENTURA FRWY,Location: BALBOA BLVD at VENTURA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3013
-118.501104364211372,34.170004618368971,3014,58171,34.16999973,-118.50109218,VENTURA FRWY at BALBOA BLVD,Location: VENTURA FRWY at BALBOA BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3014
-118.492372181698158,34.165834888323104,3015,58172,34.16583,-118.49236,HAYVENHURST AVE at VENTURA FRWY,Location: HAYVENHURST AVE at VENTURA FRWY,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3015
-118.474911268795807,34.163940449483128,3016,58175,34.16393556,-118.47489909,VENTURA FRWY at HASKELL AVE,Location: VENTURA FRWY at HASKELL AVE,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3016
-118.466168227620486,34.160008999555174,3017,58177,34.16000411,-118.46615605,VENTURA FRWY at SEPULVEDA BLVD,Location: VENTURA FRWY at SEPULVEDA BLVD,http://navigatela.lacity.org/reports/dot_traffic_data_report.cfm?trafficid=3017
